Metabolite,Disease,prob,TRUE
HMDB0007973,7,4.87E-06,0
HMDB0008172,32,0.99945,1
HMDB0002203,33,0.010553,0
HMDB0000220,42,0.97303,1
HMDB0000908,29,0.80792,1
HMDB0031654,42,0.98,1
HMDB0000849,42,0.98999,1
HMDB0028958,42,0.98809,1
HMDB0031266,37,0.10898,0
HMDB0008521,31,5.43E-05,0
HMDB0033933,8,0.81417,1
HMDB0029042,28,0.0033295,0
HMDB0011511,2,0.0012658,0
HMDB0000015,30,0.35988,0
HMDB0003934,34,0.00042254,0
HMDB0000064,29,0.79222,1
HMDB0008688,32,0.99649,1
HMDB0001426,11,0.96168,0
HMDB0008687,32,0.99643,1
HMDB0001484,12,0.013921,0
HMDB0003625,35,0.77377,1
HMDB0029125,30,0.0018887,0
HMDB0062583,30,0.024963,0
HMDB0002250,46,0.0016453,0
HMDB0008157,32,0.99947,1
HMDB0013824,11,0.98433,1
HMDB0001860,4,0.41184,1
HMDB0008654,32,0.99653,1
HMDB0002639,29,0.77811,1
HMDB0011718,32,0.14022,1
HMDB0000904,42,0.99449,1
HMDB0000906,40,0.05539,0
HMDB0008047,1,1.61E-05,0
HMDB0000688,33,0.0058287,0
HMDB0002176,11,0.99029,1
HMDB0002994,42,0.9896,1
HMDB0008480,49,3.52E-06,0
HMDB0008820,32,0.99988,1
HMDB0033116,8,0.89087,1
HMDB0010340,12,0.62896,1
HMDB0028916,0,0.017509,0
HMDB0040733,17,0.30508,1
HMDB0000678,42,0.96726,1
HMDB0012151,16,0.80204,0
HMDB0094710,42,0.96332,1
HMDB0012101,32,0.99989,1
HMDB0008369,32,0.99994,1
HMDB0029641,11,0.97322,1
HMDB0000626,11,0.94966,1
HMDB0035514,45,0.27513,0
HMDB0000005,4,0.433,0
HMDB0013444,17,2.93E-05,0
HMDB0008588,15,0.00017291,0
HMDB0031549,55,0.95732,1
HMDB0000039,12,0.98671,1
HMDB0008601,18,3.86E-07,0
HMDB0008406,45,3.38E-06,0
HMDB0060256,42,0.98841,1
HMDB0001453,11,0.93143,1
HMDB0033910,12,0.95074,1
HMDB0008820,3,0.00013528,0
HMDB0028805,18,0.0033099,0
HMDB0000985,36,0.011598,0
HMDB0000321,5,0.013963,0
HMDB0035851,0,0.10065,0
HMDB0001140,12,0.96916,1
HMDB0031207,11,0.98601,1
HMDB0059710,16,0.55354,1
HMDB0060365,51,0.047375,0
HMDB0000222,32,0.99946,1
HMDB0029126,42,0.98844,1
HMDB0001999,14,0.27184,1
HMDB0008423,32,0.99744,1
HMDB0008463,32,0.99894,1
HMDB0031299,11,0.98593,1
HMDB0008072,32,0.99997,1
HMDB0008227,31,6.04E-05,0
HMDB0000526,46,0.22356,0
HMDB0011319,32,0.99986,1
HMDB0008719,5,2.88E-06,0
HMDB0004231,42,0.98675,1
HMDB0000700,41,0.44736,1
HMDB0000208,42,0.98179,1
HMDB0059981,16,0.3571,1
HMDB0006116,42,0.97142,1
HMDB0000608,35,0.7451,1
HMDB0002322,12,0.9771,1
HMDB0001003,10,0.01204,0
HMDB0000060,12,0.94715,1
HMDB0008376,17,7.83E-06,0
HMDB0002825,42,0.94831,1
HMDB0000089,55,0.37243,0
HMDB0038578,2,0.00035406,0
HMDB0008393,32,0.99749,1
HMDB0028844,19,0.15907,0
HMDB0240630,10,0.56165,1
HMDB0000562,27,0.55587,1
HMDB0000474,55,0.97155,1
HMDB0008655,32,0.9966,1
HMDB0008026,32,0.99966,1
HMDB0028964,42,0.9878,1
HMDB0039095,55,0.96247,1
HMDB0002520,42,0.97793,1
HMDB0000756,54,0.0051566,0
HMDB0008179,42,0.050838,0
HMDB0000224,42,0.98233,1
HMDB0008088,24,1.57E-06,0
HMDB0012157,44,0.013644,0
HMDB0011185,1,0.0034454,0
HMDB0000797,17,0.015207,0
HMDB0011229,33,4.53E-07,0
HMDB0000210,11,0.71026,1
HMDB0007988,32,0.99994,1
HMDB0011635,12,0.914,1
HMDB0035850,11,0.98423,1
HMDB0029043,42,0.98783,1
HMDB0000766,7,0.0081143,0
HMDB0000122,17,0.38961,1
HMDB0000906,12,0.97803,1
HMDB0007904,32,0.99976,1
HMDB0001858,12,0.98381,1
HMDB0062549,42,0.97872,1
HMDB0000164,35,0.67089,0
HMDB0008695,12,0.00010826,0
HMDB0008332,32,0.99944,1
HMDB0031243,55,0.95686,1
HMDB0028757,53,0.064031,0
HMDB0012943,13,0.64411,0
HMDB0002166,13,0.078698,0
HMDB0029068,42,0.98461,1
HMDB0011311,32,0.99995,1
HMDB0000133,12,0.83799,1
HMDB0000317,11,0.97866,1
HMDB0001377,13,0.040354,0
HMDB0001886,37,0.76802,0
HMDB0008139,10,6.23E-06,0
HMDB0000467,29,0.77491,1
HMDB0000187,42,0.9957,1
HMDB0008334,32,0.99944,1
HMDB0094652,55,0.75087,1
HMDB0000247,11,0.78187,1
HMDB0000562,42,0.95816,1
HMDB0002823,47,0.27275,0
HMDB0000138,8,0.26811,1
HMDB0001539,54,0.0078332,0
HMDB0005065,42,0.99792,1
HMDB0001123,42,0.95132,1
HMDB0013724,35,0.59211,1
HMDB0007976,5,1.22E-06,0
HMDB0011286,32,0.99985,1
HMDB0059907,8,0.83774,1
HMDB0010169,9,0.00085672,0
HMDB0013331,12,0.98812,0
HMDB0001842,29,0.77236,1
HMDB0010378,42,0.94436,1
HMDB0061883,42,0.94846,1
HMDB0006483,27,0.30266,0
HMDB0003936,11,0.0017671,0
HMDB0005806,53,0.68841,1
HMDB0008150,8,0.0001743,0
HMDB0013455,32,0.99995,1
HMDB0003227,11,0.92781,1
HMDB0008538,32,0.99997,1
HMDB0008305,32,0.99996,1
HMDB0013716,42,0.99263,1
HMDB0008282,22,3.83E-06,0
HMDB0013449,32,0.99993,1
HMDB0008088,9,3.36E-07,0
HMDB0028922,54,0.0022853,0
HMDB0001248,1,0.01468,1
HMDB0001328,41,0.011508,0
HMDB0008404,32,0.99932,1
HMDB0008134,39,7.41E-07,0
HMDB0002176,8,0.9681,1
HMDB0008793,34,1.52E-05,0
HMDB0008131,32,0.99996,1
HMDB0013809,11,0.94645,1
HMDB0011325,32,0.99983,1
HMDB0008078,32,0.99997,1
HMDB0008069,5,1.73E-06,0
HMDB0001243,53,0.00048898,0
HMDB0000085,17,0.09243,0
HMDB0031548,11,0.92825,1
HMDB0000089,42,0.92931,1
HMDB0012310,4,0.073417,0
HMDB0035850,25,0.010165,0
HMDB0061711,15,0.51429,0
HMDB0001509,40,0.10653,1
HMDB0008072,16,0.0019921,0
HMDB0006902,8,0.0049633,0
HMDB0003224,42,0.99308,1
HMDB0012504,6,0.055409,0
HMDB0006101,42,0.9812,1
HMDB0003157,27,0.10293,1
HMDB0006857,1,0.76407,0
HMDB0000933,42,0.96628,1
HMDB0000761,13,0.70072,1
HMDB0012166,32,0.68489,0
HMDB0028830,15,0.11194,0
HMDB0001109,25,0.0023248,0
HMDB0000422,51,0.10179,0
HMDB0008473,26,5.06E-07,0
HMDB0008133,17,1.50E-05,0
HMDB0008472,17,2.88E-06,0
HMDB0011320,55,0.00020429,0
HMDB0011272,32,0.9987,1
HMDB0011211,17,0.00024355,0
HMDB0033890,8,0.95934,1
HMDB0000619,29,0.76929,1
HMDB0013785,12,0.97066,1
HMDB0031343,11,0.97059,1
HMDB0011221,32,0.99993,1
HMDB0005841,55,0.9491,1
HMDB0034121,8,0.80068,1
HMDB0011259,32,0.99987,1
HMDB0000929,3,0.40149,1
HMDB0000852,43,0.77517,0
HMDB0008133,16,0.00018793,0
HMDB0000252,55,0.61373,0
HMDB0012166,43,0.48801,1
HMDB0007971,32,0.9997,1
HMDB0031019,12,0.95953,1
HMDB0000892,10,0.84842,0
HMDB0003213,51,0.45357,0
HMDB0008534,9,4.91E-07,0
HMDB0002917,30,0.0027847,0
HMDB0008359,11,0.00059067,0
HMDB0000157,21,0.063759,0
HMDB0034970,51,0.08573,0
HMDB0008693,10,0.00080658,0
HMDB0032076,12,0.97165,1
HMDB0003375,14,0.020795,0
HMDB0008129,25,9.87E-07,0
HMDB0094696,30,0.024176,0
HMDB0000142,34,0.30415,1
HMDB0008629,43,1.08E-05,0
HMDB0002030,29,0.76144,1
HMDB0008227,3,0.00015691,0
HMDB0000030,11,0.8673,0
HMDB0008106,17,0.00015492,0
HMDB0001129,29,0.69877,0
HMDB0001409,4,0.0080449,0
HMDB0030027,55,0.90596,1
HMDB0008695,21,1.34E-06,0
HMDB0028716,36,0.0013959,0
HMDB0059907,46,0.0031437,0
HMDB0000051,29,0.63303,0
HMDB0001191,33,0.00070703,0
HMDB0011535,42,0.98469,1
HMDB0000243,41,0.28367,1
HMDB0000742,35,0.43518,1
HMDB0000063,3,0.81127,1
HMDB0007906,32,0.99962,1
HMDB0002117,42,0.95193,1
HMDB0029006,39,0.005767,0
HMDB0029129,42,0.98747,1
HMDB0000123,32,0.52323,1
HMDB0000569,29,0.61147,1
HMDB0035833,37,0.22233,0
HMDB0008128,36,3.11E-07,0
HMDB0000159,19,0.47237,1
HMDB0033916,8,0.9134,1
HMDB0001923,23,0.11391,0
HMDB0028830,42,0.98481,1
HMDB0003119,11,0.98492,1
HMDB0003407,8,0.91645,1
HMDB0094680,3,0.27261,0
HMDB0035238,11,0.98487,1
HMDB0007889,25,8.80E-07,0
HMDB0006355,19,0.36356,0
HMDB0032914,8,0.84012,1
HMDB0004157,29,0.51838,1
HMDB0008152,32,0.9994,1
HMDB0029090,42,0.95179,1
HMDB0002503,31,0.82649,1
HMDB0000637,42,0.96571,1
HMDB0008588,4,7.29E-06,0
HMDB0001960,34,0.62879,0
HMDB0000138,13,0.4629,1
HMDB0035850,53,0.69759,1
HMDB0011110,43,0.15766,0
HMDB0036209,55,0.95478,1
HMDB0011309,24,1.49E-05,0
HMDB0000630,29,0.44739,0
HMDB0000555,4,0.067864,0
HMDB0029177,38,0.048253,0
HMDB0028941,17,0.020541,0
HMDB0059973,30,0.1851,0
HMDB0013432,32,0.99968,1
HMDB0000289,48,0.053518,1
HMDB0000107,23,0.0029665,0
HMDB0061712,42,0.99204,1
HMDB0008406,23,6.34E-07,0
HMDB0000824,12,0.98747,1
HMDB0028691,49,0.026285,0
HMDB0011258,40,5.47E-07,0
HMDB0008039,32,0.99998,1
HMDB0000050,42,0.97085,1
HMDB0013816,52,0.018554,0
HMDB0031243,14,0.02988,0
HMDB0059773,29,0.35957,0
HMDB0013448,32,0.99966,1
HMDB0011307,32,0.9996,1
HMDB0000148,41,0.29214,1
HMDB0028837,22,0.0059584,0
